iter	Logloss
0	0.6654425392
1	0.6532169984
2	0.6472119339
3	0.6437842765
4	0.6423435759
5	0.6408156904
6	0.6401138805
7	0.6389020027
8	0.6379269396
9	0.636967731
10	0.636094477
11	0.6356258502
12	0.635141059
13	0.6344290495
14	0.6279534145
15	0.6273232035
16	0.6270475009
17	0.626752558
18	0.6264692901
19	0.62607883
20	0.6257718104
21	0.6246625901
22	0.6242884714
23	0.6237184913
24	0.6233440166
25	0.6230324113
26	0.6217471346
27	0.6210562461
28	0.6205921799
29	0.6201994591
30	0.6197913254
31	0.6193605709
32	0.6189240716
33	0.618497424
34	0.6180557148
35	0.6177593344
36	0.6172477417
37	0.6169464316
38	0.6165532244
39	0.6162513201
40	0.6159523202
41	0.6156032109
42	0.6153228109
43	0.6150932285
44	0.614764911
45	0.6144857878
46	0.614113715
47	0.6137762227
48	0.6132791066
49	0.6130271588
50	0.6128124456
51	0.6125580198
52	0.6122209406
53	0.6119901294
54	0.6117045705
55	0.6114115015
56	0.6111626038
57	0.6109107054
58	0.610715849
59	0.6104576377
60	0.6102214378
61	0.6099400993
62	0.609723653
63	0.6094291292
64	0.6092267346
65	0.609032773
66	0.6088298447
67	0.6086563563
68	0.6084923757
69	0.6082272729
70	0.6080891022
71	0.6078385651
72	0.6075886328
73	0.6074532753
74	0.607257812
75	0.6070944093
76	0.6068136409
77	0.6064539154
78	0.6062509037
79	0.6059342097
80	0.605683598
81	0.6055399983
82	0.6052618644
83	0.6048937691
84	0.6045784596
85	0.6043721676
86	0.6041640394
87	0.6038794174
88	0.6036086765
89	0.6033835579
90	0.6031445103
91	0.6029324158
92	0.6027270326
93	0.6025120403
94	0.6023106741
95	0.6020996025
96	0.6019096252
97	0.6017559371
98	0.6014948704
99	0.6012679964
