iter	Passed	Remaining
0	3	353
1	6	338
2	9	316
3	13	313
4	16	311
5	19	303
6	23	307
7	26	309
8	30	308
9	33	300
10	36	296
11	39	291
12	43	288
13	46	285
14	49	282
15	53	282
16	56	277
17	59	272
18	63	268
19	66	264
20	69	261
21	72	257
22	76	255
23	79	252
24	83	250
25	86	247
26	90	243
27	92	238
28	96	235
29	98	230
30	98	230
31	254	558
32	258	541
33	262	524
34	265	507
35	268	491
36	272	476
37	275	461
38	278	447
39	281	433
40	284	420
41	288	407
42	291	395
43	295	384
44	297	372
45	301	362
46	305	351
47	309	342
48	312	332
49	315	321
50	319	312
51	322	303
52	325	293
53	328	285
54	332	276
55	335	268
56	338	259
57	341	251
58	344	243
59	347	235
60	351	228
61	354	220
62	357	213
63	360	205
64	363	198
65	367	192
66	370	185
67	374	178
68	377	172
69	380	165
70	384	159
71	387	152
72	390	146
73	393	140
74	396	133
75	399	127
76	402	121
77	406	116
78	410	110
79	414	104
80	418	99
81	421	93
82	424	88
83	428	82
84	431	77
85	434	71
86	438	66
87	442	61
88	445	55
89	449	50
90	452	45
91	455	40
92	458	34
93	464	29
94	468	24
95	472	19
96	477	14
97	480	9
98	483	4
99	486	0
